2019-01-11 21:28:25,185 INFO WEIGHT LAYER 11: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,186 INFO WEIGHT LAYER 12: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,187 INFO WEIGHT LAYER 14: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,187 INFO WEIGHT LAYER 15: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,188 INFO WEIGHT LAYER 18: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,189 INFO WEIGHT LAYER 19: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,190 INFO WEIGHT LAYER 21: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,191 INFO WEIGHT LAYER 22: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,192 INFO WEIGHT LAYER 25: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,192 INFO WEIGHT LAYER 26: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,193 INFO WEIGHT LAYER 28: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,194 INFO WEIGHT LAYER 29: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,195 INFO WEIGHT LAYER 32: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,196 INFO WEIGHT LAYER 33: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,196 INFO WEIGHT LAYER 35: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,197 INFO WEIGHT LAYER 36: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,198 INFO WEIGHT LAYER 39: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,198 INFO WEIGHT LAYER 40: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,199 INFO WEIGHT LAYER 42: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,200 INFO WEIGHT LAYER 44: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,200 INFO WEIGHT LAYER 45: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,201 INFO WEIGHT LAYER 49: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,202 INFO WEIGHT LAYER 50: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,202 INFO ------------------
2019-01-11 21:28:25,204 INFO BIAS LAYER 2: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,205 INFO BIAS LAYER 5: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,206 INFO BIAS LAYER 8: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,207 INFO BIAS LAYER 12: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,208 INFO BIAS LAYER 15: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,210 INFO BIAS LAYER 19: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,211 INFO BIAS LAYER 22: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,212 INFO BIAS LAYER 26: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,213 INFO BIAS LAYER 29: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,214 INFO BIAS LAYER 33: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,215 INFO BIAS LAYER 36: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,216 INFO BIAS LAYER 40: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,217 INFO BIAS LAYER 44: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-11 21:28:25,218 INFO ******************
2019-01-13 04:44:21,813 INFO WEIGHT LAYER 1: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:21,919 INFO WEIGHT LAYER 2: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:22,211 INFO WEIGHT LAYER 4: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:22,299 INFO WEIGHT LAYER 5: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:22,392 INFO WEIGHT LAYER 7: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:22,499 INFO WEIGHT LAYER 8: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:22,629 INFO WEIGHT LAYER 11: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:22,735 INFO WEIGHT LAYER 12: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:22,824 INFO WEIGHT LAYER 14: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:22,907 INFO WEIGHT LAYER 15: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,008 INFO WEIGHT LAYER 18: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,098 INFO WEIGHT LAYER 19: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,191 INFO WEIGHT LAYER 21: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,283 INFO WEIGHT LAYER 22: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,378 INFO WEIGHT LAYER 25: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,470 INFO WEIGHT LAYER 26: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,577 INFO WEIGHT LAYER 28: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,658 INFO WEIGHT LAYER 29: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,749 INFO WEIGHT LAYER 32: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,837 INFO WEIGHT LAYER 33: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:23,939 INFO WEIGHT LAYER 35: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
2019-01-13 04:44:24,035 INFO WEIGHT LAYER 36: ABSAV = nan, SD =nan, ABSMAX =nan, ABSMIN =nan
